id,name,status,candidates,best_score,best_source
08e88666-1276-403b-972c-a82a3cedd23e,Dallol Sulfur Springs,review,19,0.55,wikimedia
0873ce73-8dbd-4d59-a980-c8e5973b4de3,Hilton Addis Ababa Ballrooms & Grounds,failed,0,,
098a3ef4-e0f9-4680-a0a3-531cd2363b7c,Sor River Canopy (Rainforest Avifauna),failed,0,,
0904c198-522d-4eae-909c-1a03548e3123,Getu Commercial Center,review,4,0.505,wikipedia
099a81af-e0f6-4c9a-acb4-46edb6f64952,Petros and Paulos Monastery,failed,2,,
09c323bd-9d34-4fda-ac2f-15bce647102c,"Lalibela Rock-Hewn Churches (Bete Giyorgis, etc.)",review,12,0.65,wikimedia
09cf80ad-8f11-4213-860c-c391cac7c1e4,Guji Gold & Pastoralist Villages,failed,2,,
09e458fc-9121-48c5-ab82-0a2d127ef57a,Wolayta Sodo Urban Center,review,10,0.65,wikimedia
0a100234-8028-4018-86a7-c3803711309e,Dire Dawa Date Palm Orchards,failed,0,,
0a20e07d-73dd-4284-ae5b-b631cc2cc559,Halala Kella Lodge Retreat & Spa,failed,0,,
