id,name,status,candidates,best_score,best_source
000b9cf0-b53f-4546-8840-ba364d586682,Cheshire Services Ethiopia Center,failed,11,,
007b0123-edb6-4112-8470-9c97d02e180a,Mount Belaya Wilderness Trek,failed,0,,
00620588-4ca4-48fa-90d5-3eba0e18392b,Erta Ale Active Volcano Lava Hazards Field,review,9,0.545,wikimedia
0051e3e0-cdf6-4292-8b3f-55e0cf27bec7,Mentewab Palace Grounds,review,9,0.62,wikimedia
0172040d-afdc-49d2-a38e-f7c51cb36544,Assosa Bamboo & Mango Farms,failed,0,,
00294e3d-1208-4208-a015-996c71cf9738,Gorgora Northern Lake Tana Dock,review,5,0.62,wikimedia
022c139e-027b-4c2b-b90f-103bdcf0f824,Menz Guassa High-Altitude Pastoral Communities,failed,0,,
00e4f04e-be64-4f35-8e8f-41d59df6a948,Asella Referral Hospital,failed,6,,
01a955e4-eb2e-4586-9b0d-5ab3c563c175,Kotebe Sports Education Center Complex,failed,6,,
0113fde5-2ea6-4aeb-965d-64901480d8c0,Jinka Urban Hub,failed,8,,
