id,name,geocode_status,resolution_level,anchor_approved,geocode_error,score,matched_query,city,region,lat,lng,matched_address,image_status,image_file,image_match_score,image_search,image_source,image_license,generated_update
3bf629e5-d66a-44bc-beb4-19511eba4f01,Ankober Escarpment Mountain Marathon Trail,anchor,anchor,False,,0.786,"ankober, Ethiopia",Ankober,Amhara,9.5911547,39.7338213,"Ankober, North Shewa (Amhara Region), Amhara Region, Ethiopia",disabled,,,,,,False
3bf8b3a4-8540-4eee-a1ce-50689836fe40,Yeka Mikael Unfinished Rock-Hewn Ruins,anchor,anchor,False,,0.72,"yeka mikael, Ethiopia",Yeka,Addis Ababa,9.0264604,38.7994481,"Yeka Mikael, Fikre Mariam Aba Techan Street, Yeka, Addis Ababa, 2310, Ethiopia",disabled,,,,,,False
3c12660a-3d5d-462a-8b7d-cb23536e6d70,Asham Africa Resort Wellness Center,anchor,anchor,False,,0.72,"asham africa bishoftu, Ethiopia",Bishoftu,Oromia,8.7436854,38.9894021,"Asham Africa, A1, Bishoftu, East Shewa, Oromia Region, 1034, Ethiopia",disabled,,,,,,False
3ca7df6d-9ac5-45df-8134-a3696ec1c1c1,Capital Hotel & Spa Business Hub,anchor,anchor,False,,0.72,"capital, Ethiopia",Bole,Addis Ababa,9.0135725,38.7800846,"Capital Laundry, Haile Gebresellasie Avenue, Urael, Bole, Addis Ababa, 2332, Ethiopia",disabled,,,,,,False
3cd274f9-95e9-4579-af27-7690e88184a8,Harar Traditional Spice & Basketry Market,anchor,anchor,False,,0.823,"harar, Ethiopia",Harar,Harar,9.3118304,42.1284009,"Harar, Hareri, Harar, 3200, Ethiopia",disabled,,,,,,False
3ce286a5-7124-4955-abca-91ba3ec6fcff,Abuna Yemata Guh,existing,,False,,,,,,,,,disabled,,,,,,False
3d580e54-b4d4-47d7-9b95-2893ae128832,Best Western Plus Pearl Addis Conference Rooms,anchor,anchor,False,,0.72,"best western, Ethiopia",Bole,Addis Ababa,8.9968941,38.7859708,"Best Western Plus Addis Ababa, BL_03_646 Street, Ghiliffalegn Stream, Bole, Addis Ababa, 1044, Ethiopia",disabled,,,,,,False
3d634d41-af7e-40c2-8ed2-4a56559fc7a2,Dikika Hominid Site,anchor,anchor,False,,0.791,"selam, Ethiopia",Finote Selam,Amhara,10.6800221,37.2601268,"Finote Selam, West Gojjam, Amhara Region, Ethiopia",disabled,,,,,,False
3d7f1f98-a03c-465a-9e6d-acae80b5b970,Wenchi,matched,exact,False,,0.827,"Wenchi, Ethiopia",Ambo Zuria,Oromia,8.7948903,37.8910436,"Lake Wenchi, Ambo Zuria, South West Shewa, Oromia Region, Ethiopia",disabled,,,,,,True
3d816d2c-3881-4ed4-a503-4601492b0a6a,Simien Mountains Jinbar Waterfall Overlook,anchor,anchor,False,,0.804,"simien mountains, Ethiopia",,Amhara,13.2458802,38.0999456,"Simien Mountains National Park, North Gondar, Amhara Region, Ethiopia",disabled,,,,,,False
3da4a265-b1fa-4350-84ef-ecc140ceece6,Zegie Peninsula Coffee Forests,anchor,anchor,False,,0.819,"tana, Ethiopia",,Amhara,11.9507719,37.294878,"Lake Tana, Amhara Region, Ethiopia",disabled,,,,,,False
3db23fee-2dbc-404a-9022-3b48dbf83d9d,Harar Hyena Feeding & Walled City Alleys,anchor,anchor,False,,0.823,"harar, Ethiopia",Harar,Harar,9.3118304,42.1284009,"Harar, Hareri, Harar, 3200, Ethiopia",disabled,,,,,,False
3de67ef9-3e68-4d65-9dfc-6c757f954f7b,Sof Umar Cave,anchor,anchor,False,,0.392,"Sof Umar, Ethiopia",Sof Omar,Oromia,6.9013463,40.8438263,"Sof Omar, Bale, Oromia Region, Ethiopia",disabled,,,,,,False
3e0ed29f-df5d-402a-b21b-2df8b4cdfb74,Hawassa Central Fish & Craft Market,anchor,anchor,False,,0.808,"hawassa, Ethiopia",Hawassa,Sidama,7.0481029,38.47861,"Hawassa, Sidama, 1923, Ethiopia",disabled,,,,,,False
3e9e006b-5a18-41d9-8cd3-606530b111f8,Maekelawi Historical Detention Center,anchor,anchor,False,,0.72,"history, Ethiopia",Addis Ababa,Addis Ababa,9.0391779,38.7625197,"5 Kilo (History Museum), King George VI Avenue, Amist Kilo, Arat Kilo, Addis Ababa, Arada, Addis Ababa, 1176, Ethiopia",disabled,,,,,,False
3effdf2c-3399-434c-9c27-142f0e4b0899,Bishangari Eco-Resort Spa,anchor,anchor,False,,0.731,"bishangari, Ethiopia",,Oromia,7.5198392,38.7715145,"To Bishangari Lodge, West Arsi, Oromia Region, Ethiopia",disabled,,,,,,False
3f2c87e1-1bac-426a-9621-ce3a8dac7828,Holy Trinity Cathedral (Kidist Selassie),existing,,False,,,,,,,,,disabled,,,,,,False
3f2e278b-63af-4d8d-ba99-e0b6f9aa4098,Dire Dawa French Quarter (Kebele 01) & Taiwan District,anchor,anchor,False,,0.82,"dire dawa, Ethiopia",Dire Dawa,Dire Dawa,9.5913368,41.8566126,"Dire Dawa, Ethiopia",disabled,,,,,,False
3f3b8afc-11fc-47e2-b1cf-3cab71138da8,Lake Koka Wetlands (Migratory Waterbirds),anchor,anchor,False,,0.741,"wetlands, Ethiopia",Hawassa,Sidama,7.0565734,38.5645095,"Cheleleka Wetlands, Hawassa, West Arsi, Sidama, Ethiopia",disabled,,,,,,False
3f48658f-cee9-4fc1-be39-695f3040da45,Lake Hora Eco-Park,anchor,anchor,False,,0.752,"hora, Ethiopia",Bule Hora,Oromia,5.6399545,38.2393711,"Bule Hora, Borena, Oromia Region, Ethiopia",disabled,,,,,,False
3f538a3e-7c65-4f10-bb74-7cfcb17b306d,Abuna Yemata Guh Cliff Church,existing,,False,,,,,,,,,disabled,,,,,,False
3f866e65-8b6c-4b3d-be32-0b419e440ff1,Zoological Natural History Museum,no_match,,False,,,,,,,,,disabled,,,,,,False
3f8bde2a-5b1f-46a6-a08b-638ce57b9af3,Mount Ayalu Volcano Trek,anchor,anchor,False,,0.728,"volcano, Ethiopia",,Afar,13.2972405,40.7809115,"Sergey Dolya volcano walk, Zone 2, Afar Region, Ethiopia",disabled,,,,,,False
3fa89afb-9b36-44ac-a84f-e0b172694794,"Mizan Teferi Spice Farms (Cardamom, Black Pepper)",anchor,anchor,False,,0.755,"mizan teferi, Ethiopia",Aman,South West Ethiopia Peoples,6.9568642,35.5544431,"Mizan Teferi Airport, Mizan - Dima, Aman, Bench Sheko, South West Ethiopia Peoples, Ethiopia",disabled,,,,,,False
3ff7b68e-955f-4eb5-b42a-346b5963129d,Bishoftu Lake Babogaya Luxury Resort Villas,anchor,anchor,False,,0.747,"babogaya bishoftu, Ethiopia",Bishoftu,Oromia,8.7873711,38.9931534,"Lake Babogaya, Bishoftu, East Shewa, Oromia Region, Ethiopia",disabled,,,,,,False
40dceafe-a721-45d5-b5dc-b398f6141467,Bishoftu General Hospital,anchor,anchor,False,,0.72,"bishoftu oromia, Ethiopia",Bishoftu,Oromia,8.7549453,38.9902682,"Ethiopia Airforce Officer's Club, Hora street, Bishoftu, East Shewa, Oromia Region, 1034, Ethiopia",disabled,,,,,,False
41500b39-2235-46c1-b55b-206505d6520d,Debre Birhan Selassie Church Angel Ceilings,anchor,anchor,False,,0.757,"Debre Birhan, Ethiopia",Debre Birhan,Amhara,9.6752117,39.5324899,"Debre Birhan, North Shewa (Amhara Region), Amhara Region, Ethiopia",disabled,,,,,,False
41599fab-1f83-4fde-8d85-d0b0b5488498,Mekelle University Arid Land Agriculture Center,anchor,anchor,False,,0.794,"mekelle university, Ethiopia",Mek'elē,Tigray,13.4842836,39.4554493,"Mekelle University Business Campus, Avenue Tegadaly Asmelash, Mek'elē, Tigray, 1547, Ethiopia",disabled,,,,,,False
41c5b841-9bd5-4124-a1a3-09e026f9e598,Bahir Dar Lakefront City Promenades,anchor,anchor,False,,0.815,"bahir dar, Ethiopia",Bahir Dar Special Zone,Amhara,11.5949663,37.3882251,"Bahir Dar Special Zone, Amhara Region, Ethiopia",disabled,,,,,,False
41f01f10-f08d-442d-aa98-4a0dfa4e2980,Bete Amanuel,matched,exact,False,,0.8,"Bete Amanuel, Ethiopia",Lalibela,Amhara,12.0314601,39.0456552,"ከቤተ ሊባኖስ ወደ ቤተ አማኑኤል የሚወስደው ደረጃ / Bete Libanos to Bete Amanuel trench stairs, Bethlehem Bridge, Lalibela, North Wollo Zone, Amhara Region, 6500, Ethiopia",disabled,,,,,,True
4200c6c4-410f-401b-895a-81171ee9ff99,Addis Ababa Police Museum,anchor,anchor,False,,0.85,"addis, Ethiopia",Addis Ababa,Addis Ababa,9.0358119,38.7524315,"Addis Ababa, Arada, Addis Ababa, 3578, Ethiopia",disabled,,,,,,False
4241b7fc-e227-4703-a87c-6ff9b811c30b,Lake Hawassa Public Park Boardwalks,anchor,anchor,False,,0.808,"hawassa, Ethiopia",Hawassa,Sidama,7.0481029,38.47861,"Hawassa, Sidama, 1923, Ethiopia",disabled,,,,,,False
429cbb02-0553-4bd3-a83d-496da820faa6,Harar Jugol Hulsen Bowl & Harari Rice Outlets,anchor,anchor,False,,0.823,"harar, Ethiopia",Harar,Harar,9.3118304,42.1284009,"Harar, Hareri, Harar, 3200, Ethiopia",disabled,,,,,,False
42af2888-be4c-436c-9d31-bb49b65bb063,Bonga Kafa Wild Coffee Specialty Markets,anchor,anchor,False,,0.792,"bonga, Ethiopia",Bonga,South West Ethiopia Peoples,7.2645383,36.2460526,"Bonga, Kafa, South West Ethiopia Peoples, Ethiopia",disabled,,,,,,False
42bcb77f-f818-4d77-8fa7-0c449ed25adf,Bishoftu Crater Lakes Reflection Shots,anchor,anchor,False,,0.808,"bishoftu, Ethiopia",Bishoftu,Oromia,8.750004,38.981734,"Bishoftu, East Shewa, Oromia Region, 1034, Ethiopia",disabled,,,,,,False
42c3a813-fba4-4400-b5ab-e9889e9ff496,Dassanech Villages,anchor,anchor,False,,0.763,"omorate, Ethiopia",Omorate,South Ethiopia Regional State,4.8032381,36.0504375,"Omorate, South Omo, South Ethiopia Regional State, Ethiopia",disabled,,,,,,False
430dbe98-7bd4-4332-afd7-b8065a00ad06,Dorze Lodge Mountain View Wellness Point,anchor,anchor,False,,0.752,"dorze, Ethiopia",Dorze,South Ethiopia Regional State,6.1948568,37.5743447,"Dorze, Gamo, South Ethiopia Regional State, Ethiopia",disabled,,,,,,False
430ea818-4176-4cc7-a307-47b499882d5a,Shiro Meda Traditional Clothes Market,anchor,anchor,False,,0.731,"shiro meda, Ethiopia",Wolaita Sodo,South Ethiopia Regional State,6.8624953,37.7616665,"Shiro Meda Avenue, Giddo, Bornes Kilomètres, Wolaita Sodo, Wolayita, South Ethiopia Regional State, 4620, Ethiopia",disabled,,,,,,False
434f5b01-f11a-4607-b444-3efc946f3cdc,Tiya Megalithic Stelae Field,existing,,False,,,,,,,,,disabled,,,,,,False
