id,name,geocode_status,resolution_level,anchor_approved,geocode_error,score,matched_query,city,region,lat,lng,matched_address,image_status,image_file,image_match_score,image_search,image_source,image_license,generated_update
78386fbf-e147-490d-9dee-bb91ee6af286,Lalibela Rock-Hewn Churches,existing,,False,,,,,,,,,disabled,,,,,,False
788942e1-12f4-4423-b7ed-a620138313fa,Radisson Blu Hotel Presidential Suite,anchor,anchor,True,,0.72,"radisson blu, Ethiopia",Kirkos,Addis Ababa,9.0161832,38.7677471,"Radisson Blu, Joseph Tito Street, Kazanchis, Kirkos, Addis Ababa, 7821, Ethiopia",disabled,,,,,,True
78e3c8c4-de3f-4539-83ba-d6fd93b64197,Saint Gabriel General Hospital,anchor,anchor,True,,0.72,"saint gabriel addis, Ethiopia",Arada,Addis Ababa,9.0239378,38.7665055,"Saint Gabriel Church, Niger Street, Arada, Addis Ababa, 7821, Ethiopia",disabled,,,,,,True
791f2010-c9f7-46cf-b9e2-831136c7e22a,Koysha Lake / Halala Kella Boat Cruise Dock,anchor,anchor,True,,0.786,"koysha, Ethiopia",Kindo Koysha,South Ethiopia Regional State,6.933691,37.5892615,"Kindo Koysha, Wolayita, South Ethiopia Regional State, Ethiopia",disabled,,,,,,True
791fd2e8-d352-4ff4-be89-1f21f63ab7d2,Kuriftu Resort & Spa Bishoftu,anchor,anchor,False,,0.72,"kuriftu spa, Ethiopia",Bahir Dar Special Zone,Amhara,11.5981525,37.3844659,"Kuriftu Resort and Spa, Route 3, Bahir Dar Special Zone, West Gojjam, Amhara Region, 6600, Ethiopia",disabled,,,,,,False
79586961-69c8-4c9f-8449-cfc4b08ed115,Mekelle Romanat Market,anchor,anchor,True,,0.749,"romanat, Ethiopia",Romanat,Tigray,13.5899444,39.4255413,"Romanat, Southern Tigray, Tigray, Ethiopia",disabled,,,,,,True
7978eafa-3e91-4915-ab4e-415ca2e10beb,Simien Mountains Conservation Project Camps,anchor,anchor,True,,0.804,"simien, Ethiopia",,Amhara,13.2458802,38.0999456,"Simien Mountains National Park, North Gondar, Amhara Region, Ethiopia",disabled,,,,,,True
79edb245-2330-4d30-a972-eb648227b2df,Gishen Pharmacy Coffee Plantation Estate,anchor,anchor,False,,0.774,"gishen, Ethiopia",,Amhara,11.5245732,39.3529106,"Gishen Mariam, South Wollo, Amhara Region, Ethiopia",disabled,,,,,,False
7a00111b-9a60-4113-8a08-3fec28046725,Battlefield of Anchem,no_match,,False,,,,,,,,,disabled,,,,,,False
7a15aa66-fed8-4dd5-8328-0ad463fcb4be,Ankober Palace Eco-Lodge Ridge,anchor,anchor,True,,0.786,"ankober, Ethiopia",Ankober,Amhara,9.5911547,39.7338213,"Ankober, North Shewa (Amhara Region), Amhara Region, Ethiopia",disabled,,,,,,True
7a4fa0f6-bb6a-4080-b62d-0ba765f074d7,Haile Grand Addis Ababa Conference Center,anchor,anchor,True,,0.72,"grand addis, Ethiopia",Bole,Addis Ababa,9.0003059,38.7817192,"Le Grand Reve, BL_03_612 Street, Ghiliffalegn Stream, Bole, Addis Ababa, 7966, Ethiopia",disabled,,,,,,True
7a5e0fe6-3e60-4db5-8eff-b9547c1883fd,West Shewa Agro-Forestry Villages,anchor,anchor,False,,0.72,"forestry, Ethiopia",Harabet Shumba,Sidama,7.1010154,38.6270522,"Wondo Genet College of Forestry and Natural Resources, Wondo Genet - Shashamene road, Harabet Shumba, West Arsi, Sidama, Ethiopia",disabled,,,,,,False
7abea604-751f-41e1-bb7f-f5c1f35dfe25,Baro River Riparian Forest (Nile Crocodiles),anchor,anchor,True,,0.799,"gambela, Ethiopia",Gambela,Gambela,8.2503656,34.5877344,"Gambela, Agnuak, Gambela Region, Ethiopia",disabled,,,,,,True
7afecfb4-d229-4c76-9edd-ba490b0355ed,Kafa Biosphere Original Wild Coffee Forest,review,review,False,,0.34,"kafa, Ethiopia",,South West Ethiopia Peoples,7.1554315,36.2072288,"Kafa, South West Ethiopia Peoples, Ethiopia",disabled,,,,,,False
7b23982e-4363-4a29-96c7-5b3f00898229,Chorora Fossil Site,no_match,,False,,,,,,,,,disabled,,,,,,False
7b4e7cef-beaf-4208-81b3-dbc6d1c90297,Danakil Salt Flat Camel Caravan Trail,anchor,anchor,True,,0.728,"caravan, Ethiopia",Melabday,Afar,13.9745086,40.0685197,"Caravan route Assale salt lake to Melabdy, Melabday, Zone 2, Afar Region, Ethiopia",disabled,,,,,,True
7bacf781-a26b-46a8-81e1-b12eeb816990,Lake Chamo Crocodile Market & Nature Reserve,anchor,anchor,True,,0.794,"chamo, Ethiopia",,South Ethiopia Regional State,5.835358,37.568742,"Lake Chamo, Gamo, South Ethiopia Regional State, Ethiopia",disabled,,,,,,True
