id,name,geocode_status,score,matched_query,city,region,lat,lng,matched_address,image_status,image_file,image_match_score,image_search,image_source,image_license,generated_update
000b9cf0-b53f-4546-8840-ba364d586682,Cheshire Services Ethiopia Center,matched,0.72,"rehabilitation, Ethiopia",Lideta,Addis Ababa,9.00325,38.736569,"Lideta Rehabilitation Centre for Children in Conflict with law, Bekele Weya Street, Lideta, Addis Ababa, 7777, Ethiopia",disabled,,,,,,True
00294e3d-1208-4208-a015-996c71cf9738,Gorgora Northern Lake Tana Dock,matched,0.775,"gorgora, Ethiopia",Gorgora,Amhara,12.2382669,37.2971393,"Gorgora, North Gondar, Amhara Region, Ethiopia",disabled,,,,,,True
0051e3e0-cdf6-4292-8b3f-55e0cf27bec7,Mentewab Palace Grounds,matched,0.72,"qusquam, Ethiopia",Gulale,Addis Ababa,9.076097,38.7555656,"Qusquam Mariam Orthodox Church, Entoto Road, Gulale, Addis Ababa, 9837, Ethiopia",disabled,,,,,,True
00620588-4ca4-48fa-90d5-3eba0e18392b,Erta Ale Active Volcano Lava Hazards Field,matched,0.798,"erta ale, Ethiopia",,Afar,13.6030321,40.6634086,"Erta Ale, Zone 2, Afar Region, Ethiopia",disabled,,,,,,True
007b0123-edb6-4112-8470-9c97d02e180a,Mount Belaya Wilderness Trek,matched,0.813,"benishangul, Ethiopia",,Benishangul-Gumuz,10.3778251,35.5084442,"Benishangul-Gumuz Region, Ethiopia",disabled,,,,,,True
00e4f04e-be64-4f35-8e8f-41d59df6a948,Asella Referral Hospital,matched,0.731,"hospital, Ethiopia",Bedeno,Oromia,9.1061245,41.6308668,"Hospital, Bedeno, East Harerghe, Oromia Region, Ethiopia",disabled,,,,,,True
0113fde5-2ea6-4aeb-965d-64901480d8c0,Jinka Urban Hub,matched,0.783,"jinka, Ethiopia",Jinka,South Ethiopia Regional State,5.786181,36.5654425,"Jinka, Ari Zone, South Ethiopia Regional State, Ethiopia",disabled,,,,,,True
0172040d-afdc-49d2-a38e-f7c51cb36544,Assosa Bamboo & Mango Farms,matched,0.736,"bamboo, Ethiopia",Nefas Silk,Addis Ababa,8.9750399,38.7563673,"China-Africa Bamboo Center, Gulele Bota, Nefas Silk, Addis Ababa, Ethiopia",disabled,,,,,,True
01a955e4-eb2e-4586-9b0d-5ab3c563c175,Kotebe Sports Education Center Complex,matched,0.749,"kotebe, Ethiopia",Yeka,Addis Ababa,9.0371282,38.8398518,"Kotebe, Yeka, Addis Ababa, 4343, Ethiopia",disabled,,,,,,True
022c139e-027b-4c2b-b90f-103bdcf0f824,Menz Guassa High-Altitude Pastoral Communities,matched,0.733,"guassa, Ethiopia",,Amhara,10.3511111,39.7959722,"Menz Guassa Community Conservation Area, North Shewa (Amhara Region), Amhara Region, Ethiopia",disabled,,,,,,True
