id,name,geocode_status,resolution_level,score,matched_query,city,region,lat,lng,matched_address,image_status,image_file,image_match_score,image_search,image_source,image_license,generated_update
000b9cf0-b53f-4546-8840-ba364d586682,Cheshire Services Ethiopia Center,no_match,,,,,,,,,disabled,,,,,,False
00294e3d-1208-4208-a015-996c71cf9738,Gorgora Northern Lake Tana Dock,anchor,anchor,0.775,"gorgora, Ethiopia",Gorgora,Amhara,12.2382669,37.2971393,"Gorgora, North Gondar, Amhara Region, Ethiopia",disabled,,,,,,False
0051e3e0-cdf6-4292-8b3f-55e0cf27bec7,Mentewab Palace Grounds,anchor,anchor,0.72,"qusquam, Ethiopia",Gulale,Addis Ababa,9.076097,38.7555656,"Qusquam Mariam Orthodox Church, Entoto Road, Gulale, Addis Ababa, 9837, Ethiopia",disabled,,,,,,False
00620588-4ca4-48fa-90d5-3eba0e18392b,Erta Ale Active Volcano Lava Hazards Field,anchor,anchor,0.798,"erta ale, Ethiopia",,Afar,13.6030321,40.6634086,"Erta Ale, Zone 2, Afar Region, Ethiopia",disabled,,,,,,False
007b0123-edb6-4112-8470-9c97d02e180a,Mount Belaya Wilderness Trek,review,,0.34,"benishangul, Ethiopia",,Benishangul-Gumuz,10.3778251,35.5084442,"Benishangul-Gumuz Region, Ethiopia",disabled,,,,,,False
00e4f04e-be64-4f35-8e8f-41d59df6a948,Asella Referral Hospital,anchor,anchor,0.806,"asela, Ethiopia",Asella,Oromia,7.95,39.13333,"Asela, Arsi, Oromia Region, Ethiopia",disabled,,,,,,False
0113fde5-2ea6-4aeb-965d-64901480d8c0,Jinka Urban Hub,anchor,anchor,0.749,"jinka south omo, Ethiopia",,South Ethiopia Regional State,5.6783612,36.4016482,"Jinka Wenz, South Omo, South Ethiopia Regional State, Ethiopia",disabled,,,,,,False
0172040d-afdc-49d2-a38e-f7c51cb36544,Assosa Bamboo & Mango Farms,anchor,anchor,0.792,"asosa, Ethiopia",Assosa,Benishangul-Gumuz,10.0646352,34.5437024,"Asosa, Benishangul-Gumuz Region, Ethiopia",disabled,,,,,,False
01a955e4-eb2e-4586-9b0d-5ab3c563c175,Kotebe Sports Education Center Complex,anchor,anchor,0.749,"kotebe, Ethiopia",Yeka,Addis Ababa,9.0371282,38.8398518,"Kotebe, Yeka, Addis Ababa, 4343, Ethiopia",disabled,,,,,,False
022c139e-027b-4c2b-b90f-103bdcf0f824,Menz Guassa High-Altitude Pastoral Communities,anchor,anchor,0.733,"guassa menz, Ethiopia",,Amhara,10.3511111,39.7959722,"Menz Guassa Community Conservation Area, North Shewa (Amhara Region), Amhara Region, Ethiopia",disabled,,,,,,False
02327ceb-e29b-4d7e-8904-dd4c8f1c7944,Bishoftu Town Crater Lake City Circuit,anchor,anchor,0.808,"bishoftu, Ethiopia",Bishoftu,Oromia,8.750004,38.981734,"Bishoftu, East Shewa, Oromia Region, 1034, Ethiopia",disabled,,,,,,False
0255ec62-2fd1-40be-ac57-209276df35e9,Massacre Memorial of Wondo Genet,anchor,anchor,0.753,"wondo genet, Ethiopia",Wondo Genet,Sidama,7.0854757,38.6141113,"Wondo Genet, Sidama, Ethiopia",disabled,,,,,,False
02890b20-0688-473d-98ed-09a1e4d3a042,Bishoftu Natural Hot Springs Wellness Retreats,anchor,anchor,0.808,"bishoftu, Ethiopia",Bishoftu,Oromia,8.750004,38.981734,"Bishoftu, East Shewa, Oromia Region, 1034, Ethiopia",disabled,,,,,,False
02c8223e-334d-47e5-b354-7fca28aada4f,Sheka Forest Biosphere Reserve,review,,0.34,"sheka, Ethiopia",,South West Ethiopia Peoples,7.5073076,35.3585049,"Sheka, South West Ethiopia Peoples, Ethiopia",disabled,,,,,,False
032ca2c4-2e8c-4a0f-9b3e-0df565405328,Battlefield of Dogali Memorial Monument,anchor,anchor,0.733,"dogali, Ethiopia",,South Ethiopia Regional State,5.33333,37.55,"Dogali, Segen Peoples', South Ethiopia Regional State, Ethiopia",disabled,,,,,,False
037f40de-3fe9-4a23-9b9e-bf17b49de895,Bebeka Coffee Estate,no_match,,,,,,,,,disabled,,,,,,False
0383471e-05bb-422a-872c-430f3ecf90b0,Bob Marley Statue & Imperial Square,no_match,,,,,,,,,disabled,,,,,,False
039c265c-7824-4623-8e6a-455de2877896,Grand Palace Hotel Meeting Rooms,anchor,anchor,0.85,"addis, Ethiopia",Addis Ababa,Addis Ababa,9.0358119,38.7524315,"Addis Ababa, Arada, Addis Ababa, 3578, Ethiopia",disabled,,,,,,False
03a350a1-6dbb-4dcb-a64a-20c725d254b9,Gondar City Center & Imperial Precincts,anchor,anchor,0.822,"gondar, Ethiopia",Gonder,Amhara,12.610368,37.466766,"Gonder, North Gondar, Amhara Region, 6200, Ethiopia",disabled,,,,,,False
03b49d09-289b-46f3-a0a6-911ce7e8b65c,Chebera Churchura National Park,matched,exact,0.816,"Chebera Churchura National Park, Ethiopia",,South West Ethiopia Peoples,6.9042595,36.7301591,"Chebera Churchura National Park, Konta Zone, South West Ethiopia Peoples, Ethiopia",disabled,,,,,,True
03fdc7fc-8467-46cf-a763-6e088fde3e14,Dembel City Center Ramp Outlets,anchor,anchor,0.747,"dembel, Ethiopia",,Oromia,8.5423252,38.8553578,"Lake Dembel, East Shewa, Oromia Region, Ethiopia",disabled,,,,,,False
03fee98a-a4f1-406e-ac0b-2db9aa5a2915,Mizan Teferi Agro-Forestry Training Projects,anchor,anchor,0.755,"mizan teferi, Ethiopia",Aman,South West Ethiopia Peoples,6.9568642,35.5544431,"Mizan Teferi Airport, Mizan - Dima, Aman, Bench Sheko, South West Ethiopia Peoples, Ethiopia",disabled,,,,,,False
042b6c47-eb1e-4060-b3ae-61f66693e65e,Debre Libanos Monastery (Shewa),existing,,,,,,,,,disabled,,,,,,False
04bb43b1-4136-46a9-923e-e6eb3baaa15d,Debre Libanos Historic Monastery Grounds,anchor,anchor,0.752,"debre libanos, Ethiopia",Debre Libanos,Oromia,9.7295697,38.8167682,"Debre Libanos, North Shewa (Oromia Region), Oromia Region, Ethiopia",disabled,,,,,,False
04c8c45f-4738-457f-bf20-218105ff3170,Kambaata Highland Agriculture Terraces,anchor,anchor,0.733,"kambata, Ethiopia",,Central Ethiopia Regional State,7.5,37.75,"Kambata, Hadiya, Central Ethiopia Regional State, Ethiopia",disabled,,,,,,False
04ea15b4-829e-4e66-9db0-208eb90ce212,Chencha Dorze Public Bamboo Trail,anchor,anchor,0.777,"chencha, Ethiopia",Chencha,South Ethiopia Regional State,6.251095,37.572946,"Chencha, Gamo, South Ethiopia Regional State, Ethiopia",disabled,,,,,,False
051f97af-5ce3-4bb0-853a-7c6ae6c5903b,Jan Meda Public Park,anchor,anchor,0.72,"jan meda addis, Ethiopia",Gulale,Addis Ababa,9.0466103,38.7687405,"Jan Meda, Angola Street, Gulale, Addis Ababa, 1176, Ethiopia",disabled,,,,,,False
055d7202-aec8-4194-afdf-f775c86e4cd5,Harari Rural Farming Outskirts,no_match,,,,,,,,,disabled,,,,,,False
0561e3f5-fc79-4bc0-a204-848d49c202f8,Senkele Hartebeest Sanctuary Conservation Base,anchor,anchor,0.736,"sanctuary, Ethiopia",Wajira Hudo,Oromia,7.167028,38.2930673,"Senkelle Swayne’s Hartebeest sanctuary, Wajira Hudo, West Arsi, Oromia Region, Ethiopia",disabled,,,,,,False
0562a30c-63b6-4c1a-9d52-8cc443b9d1f1,Kuriftu Resort & Spa Lakefront Luxury,anchor,anchor,0.747,"kuriftu, Ethiopia",Bishoftu,Oromia,8.7789777,39.0004021,"Lake Kuriftu, Bishoftu, East Shewa, Oromia Region, Ethiopia",disabled,,,,,,False
0576571c-aa6c-4d55-9f83-39ad11d50442,Axum Stelae Artisans Market,anchor,anchor,0.824,"axum, Ethiopia",Axum,Tigray,14.1220982,38.7321749,"Axum, Central Tigray, Tigray, Ethiopia",disabled,,,,,,False
0601c42b-9a91-41fe-a460-4708f4d35127,Gura Dhamole Rural Belt,anchor,anchor,0.752,"bale, Ethiopia",Bale,Oromia,7.7308591,39.9998827,"Bale, Arsi, Oromia Region, Ethiopia",disabled,,,,,,False
0621462d-39b6-421d-93c2-36425fc9ba8c,Gotera & Sarbet Metropolitan Belts,anchor,anchor,0.749,"gotera, Ethiopia",Kirkos,Addis Ababa,8.9820782,38.7584682,"Gotera, Kirkos, Addis Ababa, 3659, Ethiopia",disabled,,,,,,False
06546a02-bb0a-491b-8fa5-4c3ecb590753,Marriott Executive Apartments Sauna & Wellness,anchor,anchor,0.72,"marriott addis, Ethiopia",Kirkos,Addis Ababa,9.010443,38.7651132,"Marriott Executive Apartments, Jomo Kenyatta Avenue, Meshuwalekiya, Kirkos, Addis Ababa, 9568, Ethiopia",disabled,,,,,,False
065fbdd8-f6fe-4fd6-ade7-38b70500f4f3,Jinka Saturday Tribal Market,anchor,anchor,0.783,"jinka, Ethiopia",Jinka,South Ethiopia Regional State,5.786181,36.5654425,"Jinka, Ari Zone, South Ethiopia Regional State, Ethiopia",disabled,,,,,,False
06692b34-d8e7-4a29-bf58-74a899324989,Mekelle Relief & Rehabilitation Projects,review,,0.095,"mekelle, Ethiopia",Mek'elē,Tigray,13.4966644,39.4768259,"Mek'elē, Tigray, Ethiopia",disabled,,,,,,False
06929243-25f5-4b7f-818e-6770c4fd6500,Gofa Cultural Highlands,anchor,anchor,0.784,"sawla, Ethiopia",Sawla,South Ethiopia Regional State,6.3,36.88333,"Sawla, Gofa, South Ethiopia Regional State, Ethiopia",disabled,,,,,,False
069a3989-4cef-4a1f-9d1b-4adee39e6660,Science Museum Complex,anchor,anchor,0.747,"science, Ethiopia",Kirkos,Addis Ababa,9.0211333,38.7622597,"Ethiopia Museum of Art and Science, Taitu Street, Menahereya Kazanchis, Kirkos, Addis Ababa, 7821, Ethiopia",disabled,,,,,,False
06e8bf00-f0ca-4393-b9a2-c04eb25fb2bc,Grand Royal Hotel Conference Center,anchor,anchor,0.808,"bishoftu, Ethiopia",Bishoftu,Oromia,8.750004,38.981734,"Bishoftu, East Shewa, Oromia Region, 1034, Ethiopia",disabled,,,,,,False
06f3b178-5219-4a8e-b9b5-be91e7219175,Mount Chilalo Stargazing Ridge,anchor,anchor,0.752,"chilalo, Ethiopia",Asella,Oromia,7.9150565,39.2620904,"Chilalo, Asella, Arsi, Oromia Region, Ethiopia",disabled,,,,,,False
