id,name,status,score,display_name,formatted_address,city,region,lat,lng,place_id,types,error,generated_update
000b9cf0-b53f-4546-8840-ba364d586682,Cheshire Services Ethiopia Center,candidate,0.9,Menagesha Rehabilitation Centre - Cheshire Services Ethiopia,"Menagesha, New Road, Addis Abbaba,, 3HHQ+4FW, Ambo",Ambo,Oromia,9.077867699999999,38.588705700000006,ChIJGyFScz53TBYRdVuA8KUpJho,association_or_organization|point_of_interest|service|establishment,,True
0051e3e0-cdf6-4292-8b3f-55e0cf27bec7,Mentewab Palace Grounds,candidate,0.9,Mentewab's Palace,"JF5C+Q3V, Gondar",Gondar,Amhara,12.609496000000002,37.470178,ChIJOZv_5yEnQxYR23bWGPlH3T4,historical_landmark|historical_place|point_of_interest|establishment,,True
007b0123-edb6-4112-8470-9c97d02e180a,Mount Belaya Wilderness Trek,candidate,0.0,Bale Mountains National Park,"VPPM+8PG, Rira",Rira,,6.8858193,39.734338,ChIJFzr6JsI4thcR7BzEfxBOjjk,national_park|tourist_attraction|park|point_of_interest|establishment,,False
00e4f04e-be64-4f35-8e8f-41d59df6a948,Asella Referral Hospital,candidate,0.6,Asella Referal and Teaching hospital,"09, Asela",Asela,Oromia,7.969162799999999,39.131521,ChIJN7eH9ELotBcRrWEgLrAf5vg,hospital|service|health|point_of_interest|establishment,,True
0113fde5-2ea6-4aeb-965d-64901480d8c0,Jinka Urban Hub,candidate,0.45,Jinka Museum(SORC),"QHVF+W5W, Jinka",Jinka,"Southern Nations, Nationalities and Peoples",5.7948676,36.5729553,ChIJA42eQKKppRcRLK53MXNsyIQ,history_museum|museum|point_of_interest|establishment,,False
0172040d-afdc-49d2-a38e-f7c51cb36544,Assosa Bamboo & Mango Farms,candidate,0.225,African Bamboo,"XPMP+879, Addis Ababa Light Rail - Green Line, አዲስ አበባ 1525",ንፋስ ስልክ ላፍቶ,አዲስ አበባ,8.9832951,38.7357331,ChIJSzm_9Z-GSxYRN5i8hd-i0Bw,manufacturer|point_of_interest|establishment,,False
0255ec62-2fd1-40be-ac57-209276df35e9,Massacre Memorial of Wondo Genet,candidate,0.45,Wondo Genet Hot water and recreation ወንዶ ገነት ፍል ውሃ እና መዝናኛ,"Unnamed Road, 3JJQ+G47, Wondo Genet",Wondo Genet,ሲዳማ ክልል,7.081275300000001,38.6378019,ChIJnxpXRaNTsRcR12XBrDS74lo,sports_activity_location|point_of_interest|establishment,,False
02c8223e-334d-47e5-b354-7fca28aada4f,Sheka Forest Biosphere Reserve,candidate,0.0,Suba Menagesha park,Baburoto,Baburoto,Oromia,8.9781523,38.5585415,ChIJJ4k33qd-TBYRWy9x7zQB5qo,national_park|park|point_of_interest|establishment,,False
032ca2c4-2e8c-4a0f-9b3e-0df565405328,Battlefield of Dogali Memorial Monument,no_match,,,,,,,,,,,False
037f40de-3fe9-4a23-9b9e-bf17b49de895,Bebeka Coffee Estate,candidate,0.9,Bebeka Coffee Estate Share Company,"Addis Ababa, Ethiopia",Nefassilk Lafto,Addis Ababa,8.934156,38.748854,ChIJJVNQ2E6DSxYRxsgWQychWhY,point_of_interest|establishment,,True
0383471e-05bb-422a-872c-430f3ecf90b0,Bob Marley Statue & Imperial Square,candidate,0.18,Meskel Square,Addis Ababa,Addis Ababa,Addis Ababa,9.0104744,38.761103999999996,ChIJi4zbFbmFSxYREvDa7YBzV9g,historical_landmark|historical_place|point_of_interest|establishment,,False
039c265c-7824-4623-8e6a-455de2877896,Grand Palace Hotel Meeting Rooms,candidate,0.54,The Grand Palace Hotel,"Guinea Conakry St, Addis Ababa 5710",Kirkos,Addis Ababa,9.011794,38.7690011,ChIJXVDrpcKFSxYRDLbU0l0ZMIQ,hotel|lodging|point_of_interest|establishment,,False
03fdc7fc-8467-46cf-a763-6e088fde3e14,Dembel City Center Ramp Outlets,candidate,0.3,Dembel City Center.,"2Q38+XQC, Africa Ave, Addis Ababa",Kirkos,Addis Ababa,9.0049456,38.7668785,ChIJwVvCObCFSxYR_mAB9qh3FpQ,shopping_mall|point_of_interest|establishment,,False
03fee98a-a4f1-406e-ac0b-2db9aa5a2915,Mizan Teferi Agro-Forestry Training Projects,candidate,0.0,EEFRI,"2RCF+HM2, Addis Ababa",Yeka,Addis Ababa,9.021385500000001,38.824126299999996,ChIJ8xOCcayaSxYRX6DwOKppHEY,research_institute|point_of_interest|establishment,,False
055d7202-aec8-4194-afdf-f775c86e4cd5,Harari Rural Farming Outskirts,candidate,0.45,Harari Rural and Agricultural Development Bureau,"843J+8RX, Harar",Jin'ala,Harar,9.3033561,42.1321167,ChIJSTODo5a9MRYRAy9oVmlOxoI,local_government_office|government_office|point_of_interest|establishment,,False
0601c42b-9a91-41fe-a460-4708f4d35127,Gura Dhamole Rural Belt,candidate,0.45,Gura dhamole,"JFRG+W6, Haro Dibe",Haro Dibe,Oromia,6.6423499999999995,40.4755469,ChIJWzfubQClyRcRdxS17Vt5pb0,general_store|food_store|point_of_interest|food|store|establishment,,False
0621462d-39b6-421d-93c2-36425fc9ba8c,Gotera & Sarbet Metropolitan Belts,candidate,0.225,Gotera,"Gotera-Kera, XQM3+7PP, አዲስ አበባ",ቂርቆስ ክፍለ ከተማ,አዲስ አበባ,8.9832242,38.7543241,ChIJef6j-WqFSxYRYGf7Mh56j_s,auto_parts_store|car_repair|store|service|point_of_interest|establishment,,False
06692b34-d8e7-4a29-bf58-74a899324989,Mekelle Relief & Rehabilitation Projects,candidate,0.225,Center for rehabilitation and Development(CRDO),Mekele 7000,Mekele,Tigray,13.4963255,39.4742677,ChIJhUBcgOP9ahYRnMyiIrdQb7k,non_profit_organization|association_or_organization|point_of_interest|establishment,,False
06929243-25f5-4b7f-818e-6770c4fd6500,Gofa Cultural Highlands,candidate,0.0,Gaamo,Gaamo,Gaamo,"Southern Nations, Nationalities and Peoples",6.3609074,37.125859299999995,ChIJFZ3132xZpRcRAR43-3DWi18,administrative_area_level_2|political,,False
06e8bf00-f0ca-4393-b9a2-c04eb25fb2bc,Grand Royal Hotel Conference Center,candidate,0.45,The Grand Palace Hotel,"Guinea Conakry St, Addis Ababa 5710",Kirkos,Addis Ababa,9.011794,38.7690011,ChIJXVDrpcKFSxYRDLbU0l0ZMIQ,hotel|lodging|point_of_interest|establishment,,False
0719dd1e-6986-49b7-b092-400e2548dfc5,Inter Luxury Hotel Conference Suites,candidate,0.54,Inter Luxury Hotel,"Kazanchis area, Guinea Conakry, Tito St, Addis Ababa",Kirkos,Addis Ababa,9.015415899999999,38.7697827,ChIJ62p5c5iFSxYRxnS-h4YUo90,hotel|lodging|point_of_interest|establishment,,False
