id,name,description,region,city,distance,images,tags,location,created_at,category
000b9cf0-b53f-4546-8840-ba364d586682,Cheshire Services Ethiopia Center,Renowned orthopedic rehabilitation center offering specialized medical volunteer opportunities.,Oromia,Ambo,,[],"[""cheshire-services"",""rehabilitation"",""voluntourism""]","{""lat"":9.077867699999999,""lng"":38.588705700000006}",2026-07-27 22:07:25.776912+00,voluntourism
00294e3d-1208-4208-a015-996c71cf9738,Gorgora Northern Lake Tana Dock,Northern port terminal connecting Bahir Dar to Gorgora by boat.,Amhara,Gorgora,,[],"[""gorgora"",""dock"",""lake-tana""]","{""lat"":12.2382669,""lng"":37.2971393}",2026-07-27 22:07:25.776912+00,cruise
0051e3e0-cdf6-4292-8b3f-55e0cf27bec7,Mentewab Palace Grounds,Royal palace ruins built by Empress Mentewab at Qusquam.,Amhara,Gondar,,[],"[""qusquam"",""empress-mentewab"",""18th-century""]","{""lat"":12.609496000000002,""lng"":37.470178}",2026-07-27 22:07:25.776912+00,ancestry
00620588-4ca4-48fa-90d5-3eba0e18392b,Erta Ale Active Volcano Lava Hazards Field,Extreme natural hazard site featuring active molten lava flows.,Afar,,,[],"[""erta-ale"",""lava-field"",""extreme-hazard""]","{""lat"":13.6030321,""lng"":40.6634086}",2026-07-27 22:07:25.776912+00,dark
007b0123-edb6-4112-8470-9c97d02e180a,Mount Belaya Wilderness Trek,Unexplored wilderness trekking across Mount Belaya.,,,,[],"[""trekking"",""benishangul"",""wilderness""]",,2026-07-27 22:07:25.776912+00,adventure
00e4f04e-be64-4f35-8e8f-41d59df6a948,Asella Referral Hospital,Teaching and referral hospital in Arsi.,Oromia,Asela,,[],"[""hospital"",""asella"",""arsi""]","{""lat"":7.969162799999999,""lng"":39.131521}",2026-07-27 22:07:25.776912+00,medical
0113fde5-2ea6-4aeb-965d-64901480d8c0,Jinka Urban Hub,Gateway commercial town serving the Lower Omo Valley.,,,,[],"[""jinka"",""urban-hub"",""south-omo""]",,2026-07-27 22:07:25.776912+00,urban
0172040d-afdc-49d2-a38e-f7c51cb36544,Assosa Bamboo & Mango Farms,Lowland agricultural projects dedicated to native bamboo and mangoes.,,,,[],"[""assosa"",""bamboo"",""mango-farms""]",,2026-07-27 22:07:25.776912+00,agritourism
01a955e4-eb2e-4586-9b0d-5ab3c563c175,Kotebe Sports Education Center Complex,Educational complex dedicated to athletics and sports science.,Addis Ababa,Yeka,,[],"[""kotebe"",""sports-education"",""addis""]","{""lat"":9.0371282,""lng"":38.8398518}",2026-07-27 22:07:25.776912+00,sports
022c139e-027b-4c2b-b90f-103bdcf0f824,Menz Guassa High-Altitude Pastoral Communities,High-altitude rural communities practicing sustainable sheep farming.,Amhara,,,[],"[""menz"",""guassa"",""pastoralist""]","{""lat"":10.3511111,""lng"":39.7959722}",2026-07-27 22:07:25.776912+00,rural
